7-gram, count
never to speak of this that you, 2
to speak of this that you have, 2
my lord i have news to tell, 2
lord i have news to tell you, 2
scene i a room in the castle, 2
enter king claudius queen gertrude polonius ophelia, 2
king claudius queen gertrude polonius ophelia rosencrantz, 2
scene ii a hall in the castle, 2
o a pit of clay for to, 2
a pit of clay for to be, 2
pit of clay for to be made, 2
the tragedy of hamlet prince of denmark, 1
scene i elsinore a platform before the, 1
i elsinore a platform before the castle, 1
francisco at his post enter to him, 1
at his post enter to him bernardo, 1
nay answer me stand and unfold yourself, 1
you come most carefully upon your hour, 1
tis now struck twelve get thee to, 1
now struck twelve get thee to bed, 1
struck twelve get thee to bed francisco, 1
for this relief much thanks tis bitter, 1
this relief much thanks tis bitter cold, 1
if you do meet horatio and marcellus, 1
the rivals of my watch bid them, 1
rivals of my watch bid them make, 1
of my watch bid them make haste, 1
i think i hear them stand ho, 1
think i hear them stand ho who, 1
i hear them stand ho who s, 1
hear them stand ho who s there, 1
what has this thing appear d again, 1
has this thing appear d again to, 1
this thing appear d again to night, 1
and will not let belief take hold, 1
will not let belief take hold of, 1
not let belief take hold of him, 1
touching this dreaded sight twice seen of, 1
this dreaded sight twice seen of us, 1
with us to watch the minutes of, 1
us to watch the minutes of this, 1
to watch the minutes of this night, 1
he may approve our eyes and speak, 1
may approve our eyes and speak to, 1
approve our eyes and speak to it, 1
and let us once again assail your, 1
let us once again assail your ears, 1
that are so fortified against our story, 1
and let us hear bernardo speak of, 1
let us hear bernardo speak of this, 1
when yond same star that s westward, 1
yond same star that s westward from, 1
same star that s westward from the, 1
star that s westward from the pole, 1
had made his course to illume that, 1
made his course to illume that part, 1
his course to illume that part of, 1
course to illume that part of heaven, 1
where now it burns marcellus and myself, 1
peace break thee off look where it, 1
break thee off look where it comes, 1
thee off look where it comes again, 1
in the same figure like the king, 1
the same figure like the king that, 1
same figure like the king that s, 1
figure like the king that s dead, 1
thou art a scholar speak to it, 1
art a scholar speak to it horatio, 1
looks it not like the king mark, 1
it not like the king mark it, 1
not like the king mark it horatio, 1
most like it harrows me with fear, 1
like it harrows me with fear and, 1
it harrows me with fear and wonder, 1
what art thou that usurp st this, 1
art thou that usurp st this time, 1
thou that usurp st this time of, 1
that usurp st this time of night, 1
together with that fair and warlike form, 1
in which the majesty of buried denmark, 1
did sometimes march by heaven i charge, 1
sometimes march by heaven i charge thee, 1
march by heaven i charge thee speak, 1
stay speak speak i charge thee speak, 1
how now horatio you tremble and look, 1
now horatio you tremble and look pale, 1
is not this something more than fantasy, 1
before my god i might not this, 1
my god i might not this believe, 1
such was the very armour he had, 1
was the very armour he had on, 1
so frown d he once when in, 1
frown d he once when in an, 1
d he once when in an angry, 1
he once when in an angry parle, 1
he smote the sledded polacks on the, 1
smote the sledded polacks on the ice, 1
thus twice before and jump at this, 1
twice before and jump at this dead, 1
before and jump at this dead hour, 1
with martial stalk hath he gone by, 1
martial stalk hath he gone by our, 1
stalk hath he gone by our watch, 1
in what particular thought to work i, 1
what particular thought to work i know, 1
particular thought to work i know not, 1
but in the gross and scope of, 1
in the gross and scope of my, 1
the gross and scope of my opinion, 1
this bodes some strange eruption to our, 1
bodes some strange eruption to our state, 1
good now sit down and tell me, 1
now sit down and tell me he, 1
sit down and tell me he that, 1
down and tell me he that knows, 1
why this same strict and most observant, 1
this same strict and most observant watch, 1
so nightly toils the subject of the, 1
nightly toils the subject of the land, 1
and why such daily cast of brazen, 1
why such daily cast of brazen cannon, 1
and foreign mart for implements of war, 1
why such impress of shipwrights whose sore, 1
such impress of shipwrights whose sore task, 1
does not divide the sunday from the, 1
not divide the sunday from the week, 1
what might be toward that this sweaty, 1
might be toward that this sweaty haste, 1
doth make the night joint labourer with, 1
make the night joint labourer with the, 1
the night joint labourer with the day, 1
who is t that can inform me, 1
at least the whisper goes so our, 1
least the whisper goes so our last, 1
the whisper goes so our last king, 1
whose image even but now appear d, 1
image even but now appear d to, 1
even but now appear d to us, 1
was as you know by fortinbras of, 1
as you know by fortinbras of norway, 1
thereto prick d on by a most, 1
prick d on by a most emulate, 1
d on by a most emulate pride, 1
dared to the combat in which our, 1
to the combat in which our valiant, 1
the combat in which our valiant hamlet, 1
for so this side of our known, 1
so this side of our known world, 1
this side of our known world esteem, 1
side of our known world esteem d, 1
of our known world esteem d him, 1
did slay this fortinbras who by a, 1
slay this fortinbras who by a seal, 1
this fortinbras who by a seal d, 1
fortinbras who by a seal d compact, 1
did forfeit with his life all those, 1
forfeit with his life all those his, 1
with his life all those his lands, 1
which he stood seized of to the, 1
he stood seized of to the conqueror, 1
was gaged by our king which had, 1
gaged by our king which had return, 1
by our king which had return d, 1
had he been vanquisher as by the, 1
he been vanquisher as by the same, 1
been vanquisher as by the same covenant, 1
and carriage of the article design d, 1
his fell to hamlet now sir young, 1
fell to hamlet now sir young fortinbras, 1
hath in the skirts of norway here, 1
in the skirts of norway here and, 1
the skirts of norway here and there, 1
shark d up a list of lawless, 1
d up a list of lawless resolutes, 1
for food and diet to some enterprise, 1
that hath a stomach in t which, 1
hath a stomach in t which is, 1
a stomach in t which is no, 1
stomach in t which is no other, 1
as it doth well appear unto our, 1
it doth well appear unto our state, 1
but to recover of us by strong, 1
to recover of us by strong hand, 1
so by his father lost and this, 1
by his father lost and this i, 1
his father lost and this i take, 1
father lost and this i take it, 1
is the main motive of our preparations, 1
the source of this our watch and, 1
source of this our watch and the, 1
of this our watch and the chief, 1
this our watch and the chief head, 1
of this post haste and romage in, 1
this post haste and romage in the, 1
post haste and romage in the land, 1
i think it be no other but, 1
think it be no other but e, 1
it be no other but e en, 1
be no other but e en so, 1
well may it sort that this portentous, 1
